id,tanggal,roti_sisa,dropping,roti_id_id,toko_id_id
6551,11/15/2021,0,29,BKOR,78105
6603,11/18/2021,0,5,BKOR,78105
6655,11/22/2021,1,30,BKOR,78105
6707,11/25/2021,0,6,BKOR,78105
6759,11/29/2021,0,29,BKOR,78105
6811,12/2/2021,2,7,BKOR,78105
6863,12/6/2021,0,30,BKOR,78105
6915,12/9/2021,0,5,BKOR,78105
6967,12/13/2021,0,31,BKOR,78105
7019,12/16/2021,0,6,BKOR,78105
7071,12/20/2021,0,32,BKOR,78105
7123,12/23/2021,2,7,BKOR,78105
7175,12/27/2021,0,33,BKOR,78105
7227,12/30/2021,0,5,BKOR,78105
7279,1/3/2022,0,34,BKOR,78105
7331,1/6/2022,0,6,BKOR,78105
7383,1/10/2022,1,35,BKOR,78105
7435,1/13/2022,0,7,BKOR,78105
7487,1/17/2022,1,34,BKOR,78105
7539,1/20/2022,0,8,BKOR,78105
7591,1/24/2022,1,33,BKOR,78105
7643,1/27/2022,0,9,BKOR,78105
7695,1/31/2022,1,32,BKOR,78105
7747,2/3/2022,0,10,BKOR,78105
7799,2/7/2022,0,31,BKOR,78105
7851,2/10/2022,0,11,BKOR,78105
7903,2/14/2022,0,32,BKOR,78105
7955,2/17/2022,0,12,BKOR,78105
8007,2/21/2022,1,33,BKOR,78105
8059,2/24/2022,0,13,BKOR,78105
8111,2/28/2022,0,32,BKOR,78105
8163,3/3/2022,0,14,BKOR,78105
41,9/3/2020,0,0,BOICK,78105
93,9/7/2020,0,0,BOICK,78105
145,9/10/2020,0,0,BOICK,78105
197,9/14/2020,0,0,BOICK,78105
249,9/17/2020,0,0,BOICK,78105
301,9/21/2020,0,0,BOICK,78105
353,9/24/2020,0,0,BOICK,78105
405,9/28/2020,0,0,BOICK,78105
457,10/1/2020,0,0,BOICK,78105
